

2066 n rank 2, n<29264
TT. test: r(  2418) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 2418
TT. test: r(  2434) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 2434
TT. test: r(  2436) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 609
TT. test: r(  2464) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 154
TT. test: r(  2465) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2465
TT. test: r(  2530) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 2530
TT. test: r(  2569) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2569
TT. test: r(  2576) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 161
TT. test: r(  2594) = 2 cntrs(a= 88, b= 44) (a/b)= 2 core= 2594
TT. test: r(  2604) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 651
TT. test: r(  2611) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 2611
TT. test: r(  2619) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 291
TT. test: r(  2624) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(  2632) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 658
TT. test: r(  2691) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 299
TT. test: r(  2696) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 674
TT. test: r(  2698) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 2698
TT. test: r(  2706) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 2706
TT. test: r(  2730) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 2730
TT. test: r(  2754) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(  2756) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 689
TT. test: r(  2777) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 2777
TT. test: r(  2810) = 2 cntrs(a= 80, b= 40) (a/b)= 2 core= 2810
TT. test: r(  2817) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 313
TT. test: r(  2818) = 2 cntrs(a= 40, b= 20) (a/b)= 2 core= 2818
TT. test: r(  2833) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2833
TT. test: r(  2849) = 2 cntrs(a= 256, b= 128) (a/b)= 2 core= 2849
TT. test: r(  2865) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2865
TT. test: r(  2884) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 721
TT. test: r(  2892) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 723
TT. test: r(  2907) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 323
TT. test: r(  2914) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 2914
TT. test: r(  2924) = 2 cntrs(a= 144, b= 72) (a/b)= 2 core= 731
TT. test: r(  2929) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 2929
TT. test: r(  2945) = 2 cntrs(a= 256, b= 128) (a/b)= 2 core= 2945
TT. test: r(  2953) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 2953
TT. test: r(  2970) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 330
TT. test: r(  2995) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 2995
TT. test: r(  3001) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 3001
TT. test: r(  3003) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3003
TT. test: r(  3017) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3017
TT. test: r(  3018) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 3018
TT. test: r(  3026) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3026
TT. test: r(  3044) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 761
TT. test: r(  3081) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3081
TT. test: r(  3090) = 2 cntrs(a= 112, b= 56) (a/b)= 2 core= 3090
TT. test: r(  3099) = 2 cntrs(a= 240, b= 120) (a/b)= 2 core= 3099
TT. test: r(  3104) = 2 cntrs(a= 40, b= 20) (a/b)= 2 core= 194
TT. test: r(  3108) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 777
TT. test: r(  3122) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 3122
TT. test: r(  3129) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3129
TT. test: r(  3145) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 3145
TT. test: r(  3161) = 2 cntrs(a= 224, b= 112) (a/b)= 2 core= 3161
TT. test: r(  3171) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3171
